dataset,catalog_entity_id,source_dataset,source_record_id,source_snapshot_date,match_method,match_basis,linked_ispb,linked_cnpj,linked_name,source_registry_id,source_file_url,source_publication_date,catalog_snapshot_date,schema_version
catalog_crosswalk,ispb:00000000,spi_participants,spi:00000000,2026-04-13,exact_ispb,ispb=00000000,00000000,00000000000191,BANCO DO BRASIL S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00000208,spi_participants,spi:00000208,2026-04-13,exact_ispb,ispb=00000208,00000208,00000208000100,BRB - BANCO DE BRASILIA S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00068987,spi_participants,spi:00068987,2026-04-13,exact_ispb,ispb=00068987,00068987,00068987000186,COOPERATIVA DE CRÉDITO ARACREDI LTDA. - SICOOB ARACREDI,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00075847,spi_participants,spi:00075847,2026-04-13,exact_ispb,ispb=00075847,00075847,00075847000135,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00106180,spi_participants,spi:00106180,2026-04-13,exact_ispb,ispb=00106180,00106180,00106180000190,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON",bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00204963,spi_participants,spi:00204963,2026-04-13,exact_ispb,ispb=00204963,00204963,00204963000107,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00259231,spi_participants,spi:00259231,2026-04-13,exact_ispb,ispb=00259231,00259231,00259231000114,SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00309024,spi_participants,spi:00309024,2026-04-13,exact_ispb,ispb=00309024,00309024,00309024000127,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00315557,spi_participants,spi:00315557,2026-04-13,exact_ispb,ispb=00315557,00315557,00315557000111,COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00329598,spi_participants,spi:00329598,2026-04-13,exact_ispb,ispb=00329598,00329598,00329598000167,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00360305,spi_participants,spi:00360305,2026-04-13,exact_ispb,ispb=00360305,00360305,00360305000104,CAIXA ECONOMICA FEDERAL,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00394460,spi_participants,spi:00394460,2026-04-13,exact_ispb,ispb=00394460,00394460,00394460040950,Secretaria do Tesouro Nacional - STN,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00416968,spi_participants,spi:00416968,2026-04-13,exact_ispb,ispb=00416968,00416968,00416968000101,BANCO INTER S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00429890,spi_participants,spi:00429890,2026-04-13,exact_ispb,ispb=00429890,00429890,00429890000151,COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00512839,spi_participants,spi:00512839,2026-04-13,exact_ispb,ispb=00512839,00512839,00512839000109,COOPERATIVA DE CRÉDITO DOS SERVIDORES DO MUNICIPIO DE SANTO ANDRÉ - SP - CECRESA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00517645,spi_participants,spi:00517645,2026-04-13,exact_ispb,ispb=00517645,00517645,00517645000104,BANCO RIBEIRAO PRETO S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00556603,spi_participants,spi:00556603,2026-04-13,exact_ispb,ispb=00556603,00556603,00556603000174,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00655522,spi_participants,spi:00655522,2026-04-13,exact_ispb,ispb=00655522,00655522,00655522000121,ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:00694389,spi_participants,spi:00694389,2026-04-13,exact_ispb,ispb=00694389,00694389,00694389000112,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
